ID,Headline,Ethicality,Visibility,Accountability
1,Israeli sniper kills elderly in Al-Zaytoun neighborhood,0,10,10
2,Israel strikes people in front of school in North Gaza,0,10,10
3,Israeli airstrike on a car in Gaza City,1,10,9
4,Summary execution of Nour El-Din Fayyad in Jenin Camp,0,10,10
5,"Deadly coordinated Israeli soldier and settler attacks on Sinjil, Abwein and Jaljaliya",0,10,10
6,Israel bombs mourning house in Nuseirat,0,10,10
7,Israel kills man gathering firewood in Khan Younis,0,10,10
8,Young man killed by Israeli gunfire in Gaza City,0,10,10
9,Child killed in Israeli strike near Sheikh Radwan police station,0,10,10
10,Israel murders local police captain in Gaza City,0,10,10
11,Summary execution of Nayef Firas Ziad Samaro during a raid on Nablus,0,10,10
12,Piracy and abduction of members of the Global Flotilla (April -May 2026),0,10,10
13,Summary execution of Abdel Halim Hammad during an home invasion in Silwad,0,10,10
14,"Summary execution of Ibrahim Al-Khayyat, 15, in Hebron/Al-Khalil",0,10,10
15,"Summary execution of the young student Youssef Samih Istiyeh, 15, in Nablus",0,10,10
16,"Murder of Muhammad Majdi al-Ja'bari, 16 y/o in a ramming attack",0,10,10
17,Israeli settler attacks on the Hammamat Al-Maleh School,0,10,10
18,Late night massacre of 3 young men in Gaza,0,10,10
19,Israel kills 17 year-old and 3 other Palestinians in North Gaza,0,10,10
20,Assassination of Ali Majid Hamadna by settlers in Deir Jarir,0,10,10
21,Massacre on Government Sites in Nabatieh,0,10,10
22,Israel murders journalist,0,10,10
23,'Eternal Darkness' Israeli operation on Lebanon,1,10,9
24,Israel bombs a security checkpoint in Gaza,1,10,8
25,Israel destroyed the Rafi-Nia Synagogue in Tehran,0,1,10
26,"Murder of Sabriya Amin Shamasneh, 68, during a home invasion",0,10,10
27,Israel bombs a security checkpoint in Gaza,1,10,8
28,Young boy killed by Israeli airstrike on Gaza,0,10,10
29,Israeli gunfire kills woman in Gaza,0,10,10
30,Israeli drones kill a young woman in the Nuseirat camp,0,10,10
31,Israel strikes civilians in Al-Bureij camp,0,10,10
32,Midnight massacre in Al-Zaytoun neighborhood,0,10,10
33,Israeli airstrike on Bint Jbeil Hospital killing two paramedics,0,10,10
34,Massacre at police checkpoint in Al-Mawasi,0,10,10
35,"Airstrike on a press car in South Lebanon, killing 3 journalists",0,10,10
36,Israeli drone strike kills freed captive Ahmad Abu Rida,0,10,10
37,Qaddoum brothers killed by Israeli-backed militias,0,10,10
38,Israel executes aid-seeking teen Muqbil Barbakh,0,10,10
39,"Summary execution of Adham Dahman, 15, in Bethlehem",0,10,10
40,Special Israeli forces shot and abducted a driver in Nablus,0,10,10
41,Assassination of Mohammad Faraj al-Malhi by settlers in Harmal,0,10,10
